cliente,campanha,canal,investimento_centavos,receita_centavos,vendas,roas,recomendacao
Marcenaria Bonfim,Marca 3,Meta Ads,1614371,17702006,64,10.97,escalar
Advocacia Ramos,Marca 1,Meta Ads,1567235,14762898,52,9.42,escalar
Marcenaria Bonfim,Institucional 2,Google Ads,1816971,17000532,62,9.36,escalar
Pet Shop Lupi,Remarketing 1,YouTube Ads,2018224,16711310,63,8.28,escalar
Advocacia Ramos,Black Friday 4,Meta Ads,1522029,12240912,42,8.04,escalar
Studio Pilates Norte,Marca 1,Meta Ads,2134974,16857359,62,7.90,escalar
Clínica Odonto Sul,Marca 1,Google Ads,1640029,12643061,55,7.71,escalar
Advocacia Ramos,Black Friday 2,YouTube Ads,2088150,16047788,57,7.69,escalar
Ótica Vista Clara,Black Friday 4,Meta Ads,1346405,10218575,39,7.59,escalar
Ótica Vista Clara,Captação — bairro 1,Google Ads,1975628,14690716,55,7.44,escalar
