cliente,campanha,canal,investimento_centavos,receita_centavos,vendas,roas,recomendacao
Ótica Vista Clara,Promoção sazonal 2,YouTube Ads,1723199,16941937,66,9.83,escalar
Pet Shop Lupi,Black Friday 5,Meta Ads,1144255,10929789,40,9.55,escalar
Studio Pilates Norte,Remarketing 2,YouTube Ads,1591602,14399272,57,9.05,escalar
Ótica Vista Clara,Institucional 3,Google Ads,2702415,23594480,79,8.73,escalar
Advocacia Ramos,Marca 1,Meta Ads,1567235,13502866,52,8.62,escalar
Padaria do Zé,Remarketing 1,Google Ads,2469230,20322695,73,8.23,escalar
Padaria do Zé,Institucional 2,YouTube Ads,1336754,10767835,43,8.06,escalar
Pet Shop Lupi,Marca 3,Google Ads,1567620,12342227,48,7.87,escalar
Escola Mundo Novo,Promoção sazonal 2,Meta Ads,2116166,16287382,58,7.70,escalar
Studio Pilates Norte,Marca 1,Meta Ads,2414068,18385917,65,7.62,escalar
